ID,Date,CMD,Consumption
Light1,08/17/2020 20:14:04,off,5
Shutter1,08/17/2020 20:14:04,off,0
AC1,08/17/2020 20:14:04,on,0
Dehumidifier1,08/17/2020 20:14:04,on,0
Light1,08/17/2020 20:14:04,on,5
TV1,08/17/2020 20:14:05,on,0
T,08/17/2020 20:14:08,off,5
M,08/17/2020 20:14:08,off,5
A,08/17/2020 20:14:08,off,5
A,08/17/2020 20:14:08,on,5
Light1,08/17/2020 21:53:27,off,5
Shutter1,08/17/2020 21:53:27,off,0
AC1,08/17/2020 21:53:27,on,0
Dehumidifier1,08/17/2020 21:53:28,on,0
Light1,08/17/2020 21:53:28,on,5
TV1,08/17/2020 21:53:29,on,0
T,08/17/2020 21:53:31,off,5
M,08/17/2020 21:53:32,off,5
A,08/17/2020 21:53:32,off,5
A,08/17/2020 21:53:32,on,5
Light1,08/17/2020 21:56:32,off,5
Shutter1,08/17/2020 21:56:32,off,0
AC1,08/17/2020 21:56:32,on,0
Dehumidifier1,08/17/2020 21:56:32,on,0
Light1,08/17/2020 21:56:32,on,5
TV1,08/17/2020 21:56:33,on,0
T,08/17/2020 21:56:36,off,5
M,08/17/2020 21:56:36,off,5
A,08/17/2020 21:56:36,off,5
A,08/17/2020 21:56:36,on,5
T,08/17/2020 21:56:36,off,5
M,08/17/2020 21:56:36,off,5
A,08/17/2020 21:56:36,off,5
Light1,08/18/2020 18:46:33,off,5
Shutter1,08/18/2020 18:46:33,on,0
Shutter1,08/18/2020 18:46:33,off,0
AC1,08/18/2020 18:46:33,on,0
Dehumidifier1,08/18/2020 18:46:33,on,0
T,08/18/2020 18:46:37,off,5
M,08/18/2020 18:46:37,off,5
A,08/18/2020 18:46:37,off,5
A,08/18/2020 18:46:37,on,5
A,08/18/2020 18:46:37,off,5
M,08/18/2020 18:46:37,off,5
T,08/18/2020 18:46:37,off,5
Light1,08/18/2020 18:47:05,off,5
Shutter1,08/18/2020 18:47:05,on,0
Shutter1,08/18/2020 18:47:05,off,0
AC1,08/18/2020 18:47:05,on,0
Dehumidifier1,08/18/2020 18:47:05,on,0
Light1,08/18/2020 18:47:06,on,5
TV1,08/18/2020 18:47:06,on,0
T,08/18/2020 18:47:09,off,5
M,08/18/2020 18:47:09,off,5
A,08/18/2020 18:47:09,off,5
A,08/18/2020 18:47:09,on,5
M,08/18/2020 18:47:09,off,5
T,08/18/2020 18:47:09,off,5
A,08/18/2020 18:47:09,off,5
Light1,08/18/2020 19:07:37,off,5
Shutter1,08/18/2020 19:07:37,on,0
Shutter1,08/18/2020 19:07:37,off,0
AC1,08/18/2020 19:07:37,on,0
Dehumidifier1,08/18/2020 19:07:37,on,0
Light1,08/18/2020 19:07:38,on,5
T,08/18/2020 19:07:41,off,5
M,08/18/2020 19:07:41,off,5
A,08/18/2020 19:07:41,off,5
A,08/18/2020 19:07:41,on,5
T,08/18/2020 19:07:41,off,5
A,08/18/2020 19:07:41,off,5
M,08/18/2020 19:07:41,off,5
Light1,08/18/2020 19:17:20,off,5
Shutter1,08/18/2020 19:17:20,on,0
Shutter1,08/18/2020 19:17:21,off,0
AC1,08/18/2020 19:17:21,on,0
Dehumidifier1,08/18/2020 19:17:21,on,0
Light1,08/18/2020 19:17:21,on,5
T,08/18/2020 19:17:24,off,5
M,08/18/2020 19:17:24,off,5
A,08/18/2020 19:17:25,off,5
A,08/18/2020 19:17:25,on,5
M,08/18/2020 19:17:25,off,5
T,08/18/2020 19:17:25,off,5
A,08/18/2020 19:17:25,off,5
Light1,08/18/2020 19:18:40,off,5
Shutter1,08/18/2020 19:18:40,on,0
Shutter1,08/18/2020 19:18:40,off,0
AC1,08/18/2020 19:18:40,on,0
Dehumidifier1,08/18/2020 19:18:40,on,0
Light1,08/18/2020 19:18:41,on,5
Light1,08/18/2020 19:19:34,off,5
Shutter1,08/18/2020 19:19:34,on,0
Shutter1,08/18/2020 19:19:34,off,0
AC1,08/18/2020 19:19:34,on,0
Dehumidifier1,08/18/2020 19:19:34,on,0
Light1,08/18/2020 19:19:35,on,5
Light1,08/18/2020 19:20:34,off,5
Shutter1,08/18/2020 19:20:34,on,0
Shutter1,08/18/2020 19:20:34,off,0
AC1,08/18/2020 19:20:34,on,0
Dehumidifier1,08/18/2020 19:20:34,on,0
Light1,08/18/2020 19:20:34,on,5
Light1,08/18/2020 19:21:04,off,5
Shutter1,08/18/2020 19:21:04,on,0
Shutter1,08/18/2020 19:21:05,off,0
AC1,08/18/2020 19:21:05,on,0
Dehumidifier1,08/18/2020 19:21:05,on,0
Light1,08/18/2020 19:21:05,on,5
Light1,08/18/2020 19:21:05,off,5
Shutter1,08/18/2020 19:21:05,on,0
Shutter1,08/18/2020 19:21:05,off,0
AC1,08/18/2020 19:21:06,on,0
Dehumidifier1,08/18/2020 19:21:06,on,0
Light1,08/18/2020 19:21:53,off,5
Shutter1,08/18/2020 19:21:53,on,0
Shutter1,08/18/2020 19:21:53,off,0
AC1,08/18/2020 19:21:53,on,0
Dehumidifier1,08/18/2020 19:21:53,on,0
Light1,08/18/2020 19:21:54,on,5
Light1,08/18/2020 19:21:54,off,5
Shutter1,08/18/2020 19:21:54,on,0
Shutter1,08/18/2020 19:21:54,off,0
AC1,08/18/2020 19:21:54,on,0
Dehumidifier1,08/18/2020 19:21:54,on,0
TV1,08/18/2020 19:21:55,on,0
T,08/18/2020 19:21:58,off,5
M,08/18/2020 19:21:58,off,5
A,08/18/2020 19:21:58,off,5
A,08/18/2020 19:21:58,on,5
A,08/18/2020 19:21:58,off,5
T,08/18/2020 19:21:58,off,5
M,08/18/2020 19:21:58,off,5
Light1,08/19/2020 15:30:59,off,5
Shutter1,08/19/2020 15:30:59,on,0
Shutter1,08/19/2020 15:30:59,off,0
AC1,08/19/2020 15:30:59,on,0
Dehumidifier1,08/19/2020 15:30:59,on,0
Light1,08/19/2020 15:30:59,on,5
Light1,08/19/2020 15:31:00,off,5
Shutter1,08/19/2020 15:31:00,on,0
Shutter1,08/19/2020 15:31:00,off,0
AC1,08/19/2020 15:31:00,on,0
Dehumidifier1,08/19/2020 15:31:00,on,0
TV1,08/19/2020 15:31:00,on,0
T,08/19/2020 15:31:03,off,5
M,08/19/2020 15:31:03,off,5
A,08/19/2020 15:31:03,off,5
A,08/19/2020 15:31:04,on,5
A,08/19/2020 15:31:04,off,5
T,08/19/2020 15:31:04,off,5
M,08/19/2020 15:31:04,off,5
